Name,Email,Financial Status,Paid at,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Billing Name,Billing City,Billing Province,Billing Zip,Billing Country,Shipping Name,Shipping City,Shipping Province,Shipping Zip,Shipping Country
#JC1011,steven.nelson@hotmail.com,paid,2025-03-17T19:27:13-06:00,USD,26.99,0.0,1.33,22.92,SUBSCRIBE20,5.4,1,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,Steven Nelson,Lake Mark,WA,07832,US,Steven Nelson,Lake Mark,WA,07832,US
#JC1011,steven.nelson@hotmail.com,paid,2025-03-17T19:27:13-06:00,USD,119.98,7.99,5.13,109.1,SUBSCRIBE20,24.0,2,Mocha Concentrate 18oz,59.99,mocha-concentrate-18oz,Steven Nelson,Lake Mark,WA,07832,US,Steven Nelson,Lake Mark,WA,07832,US
#JC1012,jeremy.johnson@yahoo.com,paid,2025-04-22T15:13:34-06:00,USD,26.99,0.0,2.24,29.23,,0.0,1,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,Jeremy Johnson,Adamsborough,CT,74842,US,Jeremy Johnson,Adamsborough,CT,74842,US
#JC1013,nancy.edwards@hotmail.com,paid,2025-05-14T14:55:46-05:00,USD,59.99,5.99,4.61,70.59,,0.0,1,Vanilla Concentrate 18oz,59.99,vanilla-concentrate-18oz,Nancy Edwards,Fostermouth,CO,19227,US,Nancy Edwards,Fostermouth,CO,19227,US
#JC1014,joseph.wright@hotmail.com,voided,,USD,24.99,5.99,1.46,32.44,,0.0,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Joseph Wright,Juliechester,OK,76985,US,Joseph Wright,Juliechester,OK,76985,US
#JC1014,joseph.wright@hotmail.com,voided,,USD,26.99,5.99,2.52,35.5,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Joseph Wright,Juliechester,OK,76985,US,Joseph Wright,Juliechester,OK,76985,US
#JC1015,reginald.robinson@gmail.com,paid,2025-12-06T12:00:24-07:00,USD,26.99,9.99,1.56,38.54,,0.0,1,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,Reginald Robinson,Daviston,KY,14872,US,Reginald Robinson,Daviston,KY,14872,US
#JC1016,eric.moore@hotmail.com,paid,2025-04-02T18:47:34-05:00,USD,26.99,0.0,2.5,29.49,,0.0,1,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,Eric Moore,Carlsonfurt,TX,50520,US,Eric Moore,Carlsonfurt,TX,50520,US
#JC1017,caitlin.mcdonald@yahoo.com,paid,2025-01-03T21:55:15-08:00,USD,26.99,7.99,2.35,34.63,WELCOME10,2.7,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Caitlin Mcdonald,Lake Jenniferside,CT,98920,US,Caitlin Mcdonald,Lake Jenniferside,CT,98920,US
#JC1018,joseph.davidson@gmail.com,paid,2025-03-23T10:15:16-08:00,USD,26.99,0.0,1.45,28.44,,0.0,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Joseph Davidson,Ryanmouth,CO,00926,US,Joseph Davidson,Ryanmouth,CO,00926,US
#JC1019,stephanie.liu@yahoo.com,paid,2025-03-09T04:59:22-05:00,USD,80.97,0.0,6.75,87.72,,0.0,3,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,Stephanie Liu,New Rita,VA,82460,US,Stephanie Liu,New Rita,VA,82460,US
#JC1020,kenneth.fowler@hotmail.com,paid,2025-08-30T21:06:56-06:00,USD,119.98,5.99,10.13,136.1,,0.0,2,Mocha Concentrate 18oz,59.99,mocha-concentrate-18oz,Kenneth Fowler,East Nathaniel,CT,21675,US,Kenneth Fowler,East Nathaniel,CT,21675,US
#JC1021,amber.osborne@hotmail.com,paid,2025-11-17T15:16:57-05:00,USD,24.99,9.99,1.46,30.19,HOLIDAY25,6.25,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Amber Osborne,New Mariotown,AZ,15163,US,Amber Osborne,New Mariotown,AZ,15163,US
#JC1021,amber.osborne@hotmail.com,paid,2025-11-17T15:16:57-05:00,USD,26.99,5.99,1.56,27.79,HOLIDAY25,6.75,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Amber Osborne,New Mariotown,AZ,15163,US,Amber Osborne,New Mariotown,AZ,15163,US
#JC1022,sarah.koch@yahoo.com,paid,2025-11-19T17:09:27-06:00,USD,62.99,0.0,4.26,67.25,,0.0,1,Decaf Concentrate 18oz,62.99,decaf-concentrate-18oz,Sarah Koch,North John,VA,74865,US,Sarah Koch,North John,VA,74865,US
#JC1022,sarah.koch@yahoo.com,paid,2025-11-19T17:09:27-06:00,USD,19.99,9.99,1.97,31.95,,0.0,1,Travel Mug,19.99,travel-mug,Sarah Koch,North John,VA,74865,US,Sarah Koch,North John,VA,74865,US
#JC1023,stacey.miller@yahoo.com,paid,2025-10-30T07:55:10-06:00,USD,44.99,5.99,2.85,53.83,,0.0,1,Starter Kit,44.99,starter-kit,Stacey Miller,Port Amandaberg,CA,17329,US,Stacey Miller,Port Amandaberg,CA,17329,US
#JC1024,donna.arroyo@gmail.com,paid,2025-11-04T12:55:02-08:00,USD,26.99,0.0,2.12,23.71,SUBSCRIBE20,5.4,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Donna Arroyo,Allisonchester,OR,28261,US,Donna Arroyo,Allisonchester,OR,28261,US
#JC1024,donna.arroyo@gmail.com,paid,2025-11-04T12:55:02-08:00,USD,62.99,9.99,4.23,64.61,SUBSCRIBE20,12.6,1,Decaf Concentrate 18oz,62.99,decaf-concentrate-18oz,Donna Arroyo,Allisonchester,OR,28261,US,Donna Arroyo,Allisonchester,OR,28261,US
#JC1024,donna.arroyo@gmail.com,paid,2025-11-04T12:55:02-08:00,USD,39.98,7.99,3.1,43.07,SUBSCRIBE20,8.0,2,Travel Mug,19.99,travel-mug,Donna Arroyo,Allisonchester,OR,28261,US,Donna Arroyo,Allisonchester,OR,28261,US
#JC1025,sarah.campos@hotmail.com,paid,2025-02-09T05:37:16-05:00,USD,27.99,5.99,1.75,35.73,,0.0,1,Decaf Concentrate 6oz,27.99,decaf-concentrate-6oz,Sarah Campos,Lake Larry,AZ,88540,US,Sarah Campos,Lake Larry,AZ,88540,US
#JC1026,debra.kim@hotmail.com,paid,2025-10-01T16:59:51-06:00,USD,44.99,7.99,2.37,44.1,HOLIDAY25,11.25,1,Starter Kit,44.99,starter-kit,Debra Kim,Martinezbury,FL,08893,US,Debra Kim,Martinezbury,FL,08893,US
#JC1026,debra.kim@hotmail.com,paid,2025-10-01T16:59:51-06:00,USD,26.99,5.99,1.21,27.44,HOLIDAY25,6.75,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Debra Kim,Martinezbury,FL,08893,US,Debra Kim,Martinezbury,FL,08893,US
#JC1026,debra.kim@hotmail.com,paid,2025-10-01T16:59:51-06:00,USD,59.99,9.99,3.77,58.75,HOLIDAY25,15.0,1,Caramel Concentrate 18oz,59.99,caramel-concentrate-18oz,Debra Kim,Martinezbury,FL,08893,US,Debra Kim,Martinezbury,FL,08893,US
#JC1027,matthew.chapman@gmail.com,paid,2025-12-20T18:19:25-05:00,USD,26.99,5.99,2.04,35.02,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Matthew Chapman,North Chad,OH,83220,US,Matthew Chapman,North Chad,OH,83220,US
#JC1028,brian.jones@gmail.com,paid,2025-11-26T23:10:42-05:00,USD,26.99,5.99,1.55,34.53,,0.0,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Brian Jones,Chadbury,MN,37001,US,Brian Jones,Chadbury,MN,37001,US
#JC1028,brian.jones@gmail.com,paid,2025-11-26T23:10:42-05:00,USD,62.99,9.99,5.08,78.06,,0.0,1,Decaf Concentrate 18oz,62.99,decaf-concentrate-18oz,Brian Jones,Chadbury,MN,37001,US,Brian Jones,Chadbury,MN,37001,US
#JC1029,elizabeth.lewis@gmail.com,voided,,USD,53.98,0.0,4.8,58.78,,0.0,2,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Elizabeth Lewis,Sanchezfort,WA,53855,US,Elizabeth Lewis,Sanchezfort,WA,53855,US
#JC1030,james.davis@yahoo.com,paid,2025-03-26T22:33:29-05:00,USD,26.99,9.99,2.18,39.16,,0.0,1,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,James Davis,Rodneymouth,UT,96062,US,James Davis,Rodneymouth,UT,96062,US
#JC1030,james.davis@yahoo.com,paid,2025-03-26T22:33:29-05:00,USD,125.98,9.99,11.53,147.5,,0.0,2,Decaf Concentrate 18oz,62.99,decaf-concentrate-18oz,James Davis,Rodneymouth,UT,96062,US,James Davis,Rodneymouth,UT,96062,US
#JC1031,brian.valdez@hotmail.com,paid,2025-08-29T05:47:55-08:00,USD,26.99,7.99,1.94,36.92,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Brian Valdez,North Richardmouth,LA,14823,US,Brian Valdez,North Richardmouth,LA,14823,US
#JC1032,john.lee@yahoo.com,paid,2025-10-08T08:21:20-05:00,USD,54.99,9.99,2.48,59.21,SUMMER15,8.25,1,Original Concentrate 18oz,54.99,original-concentrate-18oz,John Lee,South Isaiah,GA,61138,US,John Lee,South Isaiah,GA,61138,US
#JC1033,john.leblanc@yahoo.com,paid,2025-11-13T18:44:01-08:00,USD,59.99,5.99,4.46,70.44,,0.0,1,Vanilla Concentrate 18oz,59.99,vanilla-concentrate-18oz,John Leblanc,North Deniseside,VA,02435,US,John Leblanc,North Deniseside,VA,02435,US
#JC1034,tanya.house@gmail.com,refunded,,USD,24.99,0.0,1.35,26.34,,0.0,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Tanya House,South Todd,OR,28517,US,Tanya House,South Todd,OR,28517,US
#JC1035,michelle.barrera@gmail.com,paid,2025-06-28T14:11:03-07:00,USD,80.97,9.99,5.07,96.03,,0.0,3,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Michelle Barrera,Smithfurt,OH,35261,US,Michelle Barrera,Smithfurt,OH,35261,US
#JC1036,sara.glover@yahoo.com,paid,2025-02-01T23:34:03-07:00,USD,26.99,5.99,1.67,34.65,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Sara Glover,Hortonside,FL,87253,US,Sara Glover,Hortonside,FL,87253,US
#JC1036,sara.glover@yahoo.com,paid,2025-02-01T23:34:03-07:00,USD,27.99,0.0,2.19,30.18,,0.0,1,Decaf Concentrate 6oz,27.99,decaf-concentrate-6oz,Sara Glover,Hortonside,FL,87253,US,Sara Glover,Hortonside,FL,87253,US
#JC1037,jennifer.moore@yahoo.com,paid,2025-03-23T08:49:23-06:00,USD,55.98,9.99,3.91,69.88,,0.0,2,Decaf Concentrate 6oz,27.99,decaf-concentrate-6oz,Jennifer Moore,North Beth,AL,71567,US,Jennifer Moore,North Beth,AL,71567,US
#JC1037,jennifer.moore@yahoo.com,paid,2025-03-23T08:49:23-06:00,USD,109.98,0.0,8.75,118.73,,0.0,2,Original Concentrate 18oz,54.99,original-concentrate-18oz,Jennifer Moore,North Beth,AL,71567,US,Jennifer Moore,North Beth,AL,71567,US
#JC1038,bruce.edwards@gmail.com,paid,2025-11-08T03:44:49-07:00,USD,62.99,7.99,2.23,54.31,FLASH30,18.9,1,Decaf Concentrate 18oz,62.99,decaf-concentrate-18oz,Bruce Edwards,Shawhaven,WI,21136,US,Bruce Edwards,Shawhaven,WI,21136,US
#JC1038,bruce.edwards@gmail.com,paid,2025-11-08T03:44:49-07:00,USD,26.99,9.99,1.04,29.92,FLASH30,8.1,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Bruce Edwards,Shawhaven,WI,21136,US,Bruce Edwards,Shawhaven,WI,21136,US
#JC1039,brian.romero@gmail.com,paid,2025-12-21T14:45:09-08:00,USD,53.98,7.99,3.57,65.54,,0.0,2,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Brian Romero,New Carlosbury,IN,53424,US,Brian Romero,New Carlosbury,IN,53424,US
#JC1039,brian.romero@gmail.com,paid,2025-12-21T14:45:09-08:00,USD,62.99,0.0,4.03,67.02,,0.0,1,Decaf Concentrate 18oz,62.99,decaf-concentrate-18oz,Brian Romero,New Carlosbury,IN,53424,US,Brian Romero,New Carlosbury,IN,53424,US
#JC1039,brian.romero@gmail.com,paid,2025-12-21T14:45:09-08:00,USD,59.99,9.99,4.71,74.69,,0.0,1,Mocha Concentrate 18oz,59.99,mocha-concentrate-18oz,Brian Romero,New Carlosbury,IN,53424,US,Brian Romero,New Carlosbury,IN,53424,US
#JC1040,david.zamora@gmail.com,paid,2025-09-11T00:31:54-07:00,USD,53.98,0.0,4.09,58.07,,0.0,2,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,David Zamora,New Christophershire,OH,74586,US,David Zamora,New Christophershire,OH,74586,US
#JC1041,alexandra.donovan@gmail.com,paid,2025-03-08T23:26:31-06:00,USD,26.99,7.99,1.99,36.97,,0.0,1,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,Alexandra Donovan,Johnfurt,CO,17655,US,Alexandra Donovan,Johnfurt,CO,17655,US
#JC1041,alexandra.donovan@gmail.com,paid,2025-03-08T23:26:31-06:00,USD,24.99,9.99,2.49,37.47,,0.0,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Alexandra Donovan,Johnfurt,CO,17655,US,Alexandra Donovan,Johnfurt,CO,17655,US
#JC1042,emily.evans@yahoo.com,paid,2025-08-12T22:29:17-07:00,USD,26.99,9.99,1.72,38.7,,0.0,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Emily Evans,North Stephenshire,NY,13605,US,Emily Evans,North Stephenshire,NY,13605,US
#JC1042,emily.evans@yahoo.com,paid,2025-08-12T22:29:17-07:00,USD,27.99,7.99,2.77,38.75,,0.0,1,Decaf Concentrate 6oz,27.99,decaf-concentrate-6oz,Emily Evans,North Stephenshire,NY,13605,US,Emily Evans,North Stephenshire,NY,13605,US
#JC1043,,paid,2025-11-10T07:23:11-07:00,USD,24.99,9.99,1.03,29.76,HOLIDAY25,6.25,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Charles Lewis,West Nicole,MO,32519,US,Charles Lewis,West Nicole,MO,32519,US
#JC1044,mike.moore@hotmail.com,paid,2025-01-10T15:30:28-07:00,USD,19.99,0.0,1.04,19.03,WELCOME10,2.0,1,Travel Mug,19.99,travel-mug,Mike Moore,Cherylhaven,TX,01526,US,Mike Moore,Cherylhaven,TX,01526,US
#JC1045,elizabeth.spencer@hotmail.com,paid,2025-11-10T02:15:07-08:00,USD,27.99,9.99,1.83,39.81,,0.0,1,Decaf Concentrate 6oz,27.99,decaf-concentrate-6oz,Elizabeth Spencer,East Josephville,KY,97811,US,Elizabeth Spencer,East Josephville,KY,97811,US
#JC1045,elizabeth.spencer@hotmail.com,paid,2025-11-10T02:15:07-08:00,USD,59.99,0.0,5.84,65.83,,0.0,1,Vanilla Concentrate 18oz,59.99,vanilla-concentrate-18oz,Elizabeth Spencer,East Josephville,KY,97811,US,Elizabeth Spencer,East Josephville,KY,97811,US
#JC1046,angela.nelson@hotmail.com,paid,2025-03-07T08:42:05-06:00,USD,24.99,5.99,1.61,32.59,,0.0,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Angela Nelson,Lake Matthew,MO,90612,US,Angela Nelson,Lake Matthew,MO,90612,US
#JC1047,cynthia.baker@yahoo.com,paid,2025-04-28T14:04:43-06:00,USD,26.99,7.99,2.22,34.5,WELCOME10,2.7,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Cynthia Baker,Rebeccaton,KY,12598,US,Cynthia Baker,Rebeccaton,KY,12598,US
#JC1047,cynthia.baker@yahoo.com,paid,2025-04-28T14:04:43-06:00,USD,62.99,5.99,5.08,67.76,WELCOME10,6.3,1,Decaf Concentrate 18oz,62.99,decaf-concentrate-18oz,Cynthia Baker,Rebeccaton,KY,12598,US,Cynthia Baker,Rebeccaton,KY,12598,US
#JC1048,cynthia.calderon@gmail.com,paid,2025-08-27T18:58:18-08:00,USD,59.99,0.0,5.67,65.66,,0.0,1,Vanilla Concentrate 18oz,59.99,vanilla-concentrate-18oz,Cynthia Calderon,West Kellieview,SC,21679,US,Cynthia Calderon,West Kellieview,SC,21679,US
#JC1049,joyce.arnold@yahoo.com,paid,2025-10-20T08:01:05-06:00,USD,26.99,5.99,1.98,34.96,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Joyce Arnold,North Charlesberg,OR,72012,US,Joyce Arnold,North Charlesberg,OR,72012,US
#JC1049,joyce.arnold@yahoo.com,paid,2025-10-20T08:01:05-06:00,USD,24.99,7.99,1.48,34.46,,0.0,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Joyce Arnold,North Charlesberg,OR,72012,US,Joyce Arnold,North Charlesberg,OR,72012,US
#JC1050,barry.wood@hotmail.com,paid,2025-08-21T15:05:30-07:00,USD,39.98,0.0,2.91,42.89,,0.0,2,Travel Mug,19.99,travel-mug,Barry Wood,South David,NJ,40905,US,Barry Wood,South David,NJ,40905,US
#JC1050,barry.wood@hotmail.com,paid,2025-08-21T15:05:30-07:00,USD,26.99,7.99,1.51,36.49,,0.0,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Barry Wood,South David,NJ,40905,US,Barry Wood,South David,NJ,40905,US
#JC1051,michael.fitzpatrick@gmail.com,paid,2025-10-28T16:52:00-08:00,USD,26.99,7.99,2.09,37.07,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Michael Fitzpatrick,Jasonbury,OH,87917,US,Michael Fitzpatrick,Jasonbury,OH,87917,US
#JC1052,curtis.deleon@yahoo.com,paid,2025-12-15T22:31:07-05:00,USD,179.97,0.0,11.18,164.15,SUMMER15,27.0,3,Caramel Concentrate 18oz,59.99,caramel-concentrate-18oz,Curtis Deleon,East Michelle,WI,23707,US,Curtis Deleon,East Michelle,WI,23707,US
#JC1052,curtis.deleon@yahoo.com,paid,2025-12-15T22:31:07-05:00,USD,26.99,5.99,1.72,30.65,SUMMER15,4.05,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Curtis Deleon,East Michelle,WI,23707,US,Curtis Deleon,East Michelle,WI,23707,US
#JC1053,nicole.johnson@hotmail.com,paid,2025-10-17T22:17:26-08:00,USD,49.98,0.0,2.23,37.22,FLASH30,14.99,2,Original Concentrate 6oz,24.99,original-concentrate-6oz,Nicole Johnson,Kimberlychester,GA,88307,US,Nicole Johnson,Kimberlychester,GA,88307,US
#JC1054,michelle.cochran@yahoo.com,paid,2025-11-14T10:59:50-07:00,USD,19.99,9.99,1.35,31.33,,0.0,1,Travel Mug,19.99,travel-mug,Michelle Cochran,Port Jacqueline,MI,50641,US,Michelle Cochran,Port Jacqueline,MI,50641,US
#JC1054,michelle.cochran@yahoo.com,paid,2025-11-14T10:59:50-07:00,USD,26.99,9.99,1.96,38.94,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Michelle Cochran,Port Jacqueline,MI,50641,US,Michelle Cochran,Port Jacqueline,MI,50641,US
#JC1055,monica.garrison@gmail.com,paid,2025-05-07T22:15:36-08:00,USD,26.99,5.99,2.02,35.0,,0.0,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Monica Garrison,Port Samantha,LA,46331,US,Monica Garrison,Port Samantha,LA,46331,US
#JC1056,kevin.pope@gmail.com,paid,2025-01-17T18:21:55-05:00,USD,34.99,5.99,1.5,35.48,SUBSCRIBE20,7.0,1,Cold Brew Kit,34.99,cold-brew-kit,Kevin Pope,North Donna,MA,52728,US,Kevin Pope,North Donna,MA,52728,US
#JC1057,mark.lin@yahoo.com,paid,2025-11-09T10:39:44-08:00,USD,59.99,9.99,5.62,75.6,,0.0,1,Caramel Concentrate 18oz,59.99,caramel-concentrate-18oz,Mark Lin,Darlenefurt,OK,89566,US,Mark Lin,Darlenefurt,OK,89566,US
#JC1058,tina.herrera@gmail.com,paid,2025-01-03T07:40:43-07:00,USD,49.99,5.99,4.23,60.21,,0.0,1,Variety Pack,49.99,variety-pack,Tina Herrera,West Gregoryview,AL,05515,US,Tina Herrera,West Gregoryview,AL,05515,US
#JC1059,daniel.hamilton@hotmail.com,paid,2025-12-02T10:50:03-07:00,USD,59.99,0.0,4.83,64.82,,0.0,1,Mocha Concentrate 18oz,59.99,mocha-concentrate-18oz,Daniel Hamilton,Samuelhaven,AZ,15658,US,Daniel Hamilton,Samuelhaven,AZ,15658,US
#JC1060,paul.ray@yahoo.com,paid,2025-05-22T07:31:58-06:00,USD,26.99,5.99,1.23,30.16,SUMMER15,4.05,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Paul Ray,Lake Ryanhaven,CO,71076,US,Paul Ray,Lake Ryanhaven,CO,71076,US
#JC1061,gloria.bentley@hotmail.com,paid,2025-12-19T09:40:27-07:00,USD,59.99,7.99,5.98,73.96,,0.0,1,Vanilla Concentrate 18oz,59.99,vanilla-concentrate-18oz,Gloria Bentley,West Ryan,MI,87563,US,Gloria Bentley,West Ryan,MI,87563,US
#JC1062,samantha.hanson@hotmail.com,paid,2025-04-27T21:25:17-05:00,USD,99.98,5.99,8.04,114.01,,0.0,2,Variety Pack,49.99,variety-pack,Samantha Hanson,Lake Rachelhaven,MN,41039,US,Samantha Hanson,Lake Rachelhaven,MN,41039,US
#JC1062,samantha.hanson@hotmail.com,paid,2025-04-27T21:25:17-05:00,USD,34.99,5.99,2.83,43.81,,0.0,1,Cold Brew Kit,34.99,cold-brew-kit,Samantha Hanson,Lake Rachelhaven,MN,41039,US,Samantha Hanson,Lake Rachelhaven,MN,41039,US
#JC1063,elizabeth.nguyen@hotmail.com,paid,2025-09-24T21:43:53-06:00,USD,24.99,7.99,1.24,27.97,HOLIDAY25,6.25,1,Original Concentrate 6oz,24.99,original-concentrate-6oz,Elizabeth Nguyen,Angelaborough,CT,55609,US,Elizabeth Nguyen,Angelaborough,CT,55609,US
#JC1063,elizabeth.nguyen@hotmail.com,paid,2025-09-24T21:43:53-06:00,USD,27.99,5.99,1.19,28.17,HOLIDAY25,7.0,1,Decaf Concentrate 6oz,27.99,decaf-concentrate-6oz,Elizabeth Nguyen,Angelaborough,CT,55609,US,Elizabeth Nguyen,Angelaborough,CT,55609,US
#JC1064,elizabeth.gray@hotmail.com,paid,2025-08-12T16:32:58-07:00,USD,44.99,0.0,2.56,47.55,,0.0,1,Starter Kit,44.99,starter-kit,Elizabeth Gray,New Ashley,NC,53726,US,Elizabeth Gray,New Ashley,NC,53726,US
#JC1064,elizabeth.gray@hotmail.com,paid,2025-08-12T16:32:58-07:00,USD,149.97,9.99,14.76,174.72,,0.0,3,Variety Pack,49.99,variety-pack,Elizabeth Gray,New Ashley,NC,53726,US,Elizabeth Gray,New Ashley,NC,53726,US
#JC1064,elizabeth.gray@hotmail.com,paid,2025-08-12T16:32:58-07:00,USD,53.98,7.99,2.94,64.91,,0.0,2,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Elizabeth Gray,New Ashley,NC,53726,US,Elizabeth Gray,New Ashley,NC,53726,US
